S (measured),Applied Suction (kPa)
1,0.01962
0.972857143,0.05886
0.974134454,0.0981
0.978605042,0.1962
0.979722689,0.40221
0.978764706,0.79461
0.984831933,1.48131
0.921764706,2.96262
0.340268908,5.85657
0.340268908,5.85657
0.143403361,9.82962
0.126319328,19.64943
0.049680672,26.51643
0.049042017,26.51643
0.049042017,26.51643
