S (measured),Applied Suction (kPa)
1,0.00981
0.985470588,0.03924
0.985310924,0.10791
0.988983193,0.28449
0.990579832,0.38259
0.991537815,0.81423
0.994571429,1.51074
0.994571429,1.51074
0.918092437,2.97243
0.285983193,5.70942
0.285983193,5.70942
0.109235294,9.76095
0.09502521,19.78677
0.05702521,27.00693
0.05702521,27.00693
