S (measured),Applied Suction (kPa)
0.946534884,0.12753
0.949922481,0.1962
0.965682171,0.44145
0.966271318,0.44145
0.968775194,0.7848
0.872596899,1.53036
0.705868217,2.95281
0.321007752,3.84552
0.280503876,4.84614
0.215992248,5.93505
0.13851938,10.06506
0.140581395,10.06506
0.140581395,10.06506
0.126147287,19.90449
0.123790698,26.66358
